"","LOCATION_ID","frequent2","stop_name","jurisdic","zipcode","estimated_pop_density","X","Y","white","white_nh","black","native","asian","pacific","hispanic","other_race","two_races","total_pop","male","female","age_below_18","age_18_29","age_30_44","age_45_54","age_55_64","age_65_more","educ_no_school","educ_high_or_less","educ_bach_or_less","educ_master","educ_prof","educ_phd","english_native","average_household_size","median_income","average_total_ons","average_total_offs","hotspot_1","hotspot_2","hotspot_3","hotspot_4","hotspot_5"
"1",265,FALSE,"W Baseline Rd & SW Lisa","Washington Co.",97006,10716,-122.8713289,45.51638656,1002,932,39,37,365,51,292,94,228,1816,1061,1523,594,583,990,319,246,307,34,275,831,132,10,36,1220,2.3,21507.2,36,3,1,1,1,1,1
"2",963,FALSE,"SW Capitol & Nebraska","Portland",97239,9150,-122.6992666,45.47765666,1389,1323,37,6,66,0,190,63,187,1747,909,1729,580,360,833,391,371,726,19,119,801,270,90,55,1491,2.2,34074.1,90,32,0,0,1,1,1
"3",1600,FALSE,"SE Ellis & 86th Ct","Portland",97266,10621,-122.5742375,45.48224235,1325,1251,126,67,274,2,254,47,162,2002,1199,1604,787,433,1000,377,586,324,30,555,679,160,17,8,1443,2.5,13934.1,10,43,0,1,1,1,1
"4",1602,FALSE,"SE Ellis & 89th","Portland",97266,8754,-122.5710808,45.48221616,1118,1046,74,64,228,2,225,33,120,1638,991,1324,682,329,844,297,513,243,19,436,566,139,13,8,1177,2.5,11393.3,6,59,0,0,1,1,1
"5",1691,FALSE,"SW Farmington & 192nd","Washington Co.",97007,8861,-122.8744067,45.47187808,959,890,88,8,213,4,271,66,302,1641,939,1430,656,407,637,449,329,324,7,247,598,164,23,39,1080,2.8,13755.4,50,52,0,0,1,1,1
"6",1761,FALSE,"SE Flavel & 85th","Portland",97266,8592,-122.5760352,45.46852765,1044,1014,212,30,222,1,173,69,212,1791,1030,1410,572,507,767,374,383,375,55,536,579,93,16,10,1307,2.7,13381.6,16,101,0,0,1,1,1
"7",1769,FALSE,"13100 Block SE Foster","Portland",97236,10242,-122.5287183,45.4768906,1146,1035,129,22,309,0,338,131,144,1881,1164,1484,675,480,801,374,399,525,58,439,649,109,24,1,1091,2.9,12975.9,63,49,0,0,1,1,1
"8",1770,FALSE,"SE Foster & 131st","Portland",97236,9973,-122.5286145,45.47670165,1127,1018,125,21,304,0,330,128,141,1846,1140,1459,662,472,784,369,391,517,57,429,638,107,24,2,1070,2.9,12784.6,49,24,0,1,1,1,1
"9",1786,FALSE,"12300 Block SE Foster","Portland",97236,9148,-122.5356694,45.47647922,1053,946,118,19,286,0,316,118,139,1732,1064,1380,648,423,758,334,360,472,56,410,594,93,19,1,1018,2.9,12326.3,58,35,0,0,1,1,1
"10",1906,FALSE,"NE Fremont & 77th","Portland",97213,10215,-122.5839498,45.54813334,1342,1300,1,4,116,2,136,39,168,1671,884,1597,516,290,916,577,344,465,4,213,787,276,61,25,1413,2.2,15703.1,11,66,0,1,1,1,1
"11",1907,FALSE,"NE Fremont & 77th","Portland",97213,10296,-122.5837358,45.54824251,1350,1308,1,4,116,2,136,39,168,1681,888,1608,517,293,923,579,346,468,4,214,794,277,61,25,1422,2.2,15830.4,59,18,0,1,1,1,1
"12",1909,FALSE,"NE Fremont & 80th","Portland",97213,9724,-122.5806913,45.54822901,1295,1251,6,8,113,1,129,37,173,1633,893,1501,535,267,893,544,308,466,12,215,745,252,54,24,1371,2.2,15087.9,122,25,0,0,1,1,1
"13",2000,FALSE,"NE Glisan & Floral","Portland",97232,8605,-122.6292766,45.52653159,1338,1302,0,0,70,2,69,2,141,1553,843,1414,579,299,634,664,283,465,2,95,624,282,114,30,1375,2.3,26425.4,74,20,0,0,1,1,1
